id,input,correct_choice,list_choices,lbl,distractor_model,dataset,target
32168497,"Vehicles and pedestrians will now embark and disembark the Cowes ferry separately following Maritime and Coastguard Agency (MCA) guidance.
Isle of Wight Council said its new procedures were in response to a resident's complaint.
Councillor Shirley Smart said it would ""initially result in a slower service"".
Originally passengers and vehicles boarded or disembarked the so called ""floating bridge"" at the same time.
Ms Smart, who is the executive member for economy and tourism, said the council already had measures in place to control how passengers and vehicles left or embarked the chain ferry ""in a safe manner"".
However, it was ""responding"" to the MCA's recommendations ""following this complaint"".
She added: ""This may initially result in a slower service while the measures are introduced and our customers get used to the changes.""
The service has been in operation since 1859.",Passengers using a chain ferry have been warned crossing times will be longer because of new safety measures.,A new service on the Isle of Wight's chain ferry has been launched following a complaint from a resident.,1,bart-base,xsum,0
32168497,"Vehicles and pedestrians will now embark and disembark the Cowes ferry separately following Maritime and Coastguard Agency (MCA) guidance.
Isle of Wight Council said its new procedures were in response to a resident's complaint.
Councillor Shirley Smart said it would ""initially result in a slower service"".
Originally passengers and vehicles boarded or disembarked the so called ""floating bridge"" at the same time.
Ms Smart, who is the executive member for economy and tourism, said the council already had measures in place to control how passengers and vehicles left or embarked the chain ferry ""in a safe manner"".
However, it was ""responding"" to the MCA's recommendations ""following this complaint"".
She added: ""This may initially result in a slower service while the measures are introduced and our customers get used to the changes.""
The service has been in operation since 1859.",Passengers using a chain ferry have been warned crossing times will be longer because of new safety measures.,Passengers using a chain ferry have been warned crossing times will be longer because of new safety measures.,1,bart-base,xsum,1
29610109,"If you leave your mobile phone somewhere do you worry you will not be able to check it?
If any of this sounds familiar, there is a chance you could be spending too much time on social networks.
An exclusive online Newsbeat poll suggests that a quarter of 15 to 18-year-olds in the UK feel happier online than they do in real life.
Dr Radha from The Surgery on Radio 1 has dealt with patients who have displayed ""a lot of social anxiety"" because they are using social networks too much.
""Being online can provoke a sense of 'I'm not good enough, everyone else is having an amazing life',"" she explained.
""It doesn't give us a sense of reality and actually what you will find is most people are probably doing the same thing as you are.""
The survey, carried out last month, also suggests a third of 15 to 18-year-olds have met someone in person they originally met through social media.
Dr Radha has said it is important people carefully consider what information they share with the online community.
""What this survey showed is a lot of people go online alone,"" she said.
""In terms of our personal details and how we respond to messages from other people, we need to make sure we are looking after all of that safely.""
Dr Radha was concerned that some people feel safer dealing with people online, rather than in person.
""The more time we spend online, the less we are able to develop our social skills,"" she explained.
""When you are online you're not getting eye contact with people or perceiving how body language is changing, so as a result what people are saying can be misinterpreted.
""Physical contact, like a hug and a kiss, is really important. You don't get that kind of emotional confidence from being online.""
If your online activity is leaving you feeling anxious, Dr Radha has advised that you should ""slowly try to wean yourself off it"".
She said: ""If you are worrying, 'what's going on? What am I missing?' It's a sign that being online too much is quite bad for you.
""Give yourself some rules by saying, 'I'm only going to check things three times a day for this amount of time'.""
BBC Radio 1's The Surgery with Aled and Dr Radha is on Wednesday's at 9pm.
Follow @BBCNewsbeat on Twitter and Radio1Newsbeat on YouTube","Do you ever feel lonely, stressed or jealous when you are online?","You may be worried about your health, but what if you are online?",1,bart-base,xsum,0
29610109,"If you leave your mobile phone somewhere do you worry you will not be able to check it?
If any of this sounds familiar, there is a chance you could be spending too much time on social networks.
An exclusive online Newsbeat poll suggests that a quarter of 15 to 18-year-olds in the UK feel happier online than they do in real life.
Dr Radha from The Surgery on Radio 1 has dealt with patients who have displayed ""a lot of social anxiety"" because they are using social networks too much.
""Being online can provoke a sense of 'I'm not good enough, everyone else is having an amazing life',"" she explained.
""It doesn't give us a sense of reality and actually what you will find is most people are probably doing the same thing as you are.""
The survey, carried out last month, also suggests a third of 15 to 18-year-olds have met someone in person they originally met through social media.
Dr Radha has said it is important people carefully consider what information they share with the online community.
""What this survey showed is a lot of people go online alone,"" she said.
""In terms of our personal details and how we respond to messages from other people, we need to make sure we are looking after all of that safely.""
Dr Radha was concerned that some people feel safer dealing with people online, rather than in person.
""The more time we spend online, the less we are able to develop our social skills,"" she explained.
""When you are online you're not getting eye contact with people or perceiving how body language is changing, so as a result what people are saying can be misinterpreted.
""Physical contact, like a hug and a kiss, is really important. You don't get that kind of emotional confidence from being online.""
If your online activity is leaving you feeling anxious, Dr Radha has advised that you should ""slowly try to wean yourself off it"".
She said: ""If you are worrying, 'what's going on? What am I missing?' It's a sign that being online too much is quite bad for you.
""Give yourself some rules by saying, 'I'm only going to check things three times a day for this amount of time'.""
BBC Radio 1's The Surgery with Aled and Dr Radha is on Wednesday's at 9pm.
Follow @BBCNewsbeat on Twitter and Radio1Newsbeat on YouTube","Do you ever feel lonely, stressed or jealous when you are online?","Do you ever feel lonely, stressed or jealous when you are online?",1,bart-base,xsum,1
38018439,"Speaking on TV, Maria Zakharova said Jews had told her they donated both to Mr Trump and Hillary Clinton.
She joked that American Jews were the best guide to US politics.
The diplomat's remarks caused shock. Anti-US propagandists in the last century peddled an idea that rich New York Jews controlled US politics.
Ms Zakharova was speaking on a chat show on Russian state TV at the weekend but her comments drew more attention after being picked up by media outlets on Thursday.
She said she had visited New York with an official Russian delegation at the time of the last UN General Assembly, in September.
""I have a lot of friends and acquaintances there, of course I was interested to find out: how are the elections going, what are the American people's expectations?"" she said.
""If you want to know what will happen in America, who do you need to talk to? You have to talk to the Jews, of course. It goes without saying.""
At this, the TV studio audience applauded loudly.
""I went here and there among them, to chat,"" she continued.
Imitating a Jewish accent, Mrs Zakharova said Jewish people had told her: ""'Marochka, understand this - we'll donate to Clinton, of course. But we'll give the Republicans twice that amount.' Enough said! That settled it for me - the picture was clear.
""If you want to know the future, don't read the mainstream newspapers - our people in Brighton [Beach] will tell you everything.""
She was referring to a district of Brooklyn with a large diaspora of Jewish emigres from the former Soviet Union.
Russian opposition activist Roman Dobrokhotov wrote on Twitter (in Russian) that the spokeswoman had ""explained Trump's victory as a Jewish conspiracy"".
Michael McFaul, the former US ambassador to Moscow, commented on Facebook, ""Wow. And this is the woman who criticizes me for not being diplomatic.""
During the election campaign, Mrs Clinton accused Mr Trump of posting a ""blatantly anti-Semitic"" tweet after he used an image resembling the Star of David and stacks of money.
Mr Trump, whose son-in-law Jared Kushner is Jewish, dismissed the accusation as ""ridiculous"".
An exit poll by US non-profit J Street suggests an overwhelming majority of US Jews voted for Hillary Clinton in the presidential election.",A spokeswoman on Russian TV has said Jewish people in New York told her they had mainly backed Trump in the US election.,"The Russian foreign minister has said she has been ""settled"" by criticism from Jewish people for saying that the US election was a ""Jewish conspiracy"".",1,bart-base,xsum,0
38018439,"Speaking on TV, Maria Zakharova said Jews had told her they donated both to Mr Trump and Hillary Clinton.
She joked that American Jews were the best guide to US politics.
The diplomat's remarks caused shock. Anti-US propagandists in the last century peddled an idea that rich New York Jews controlled US politics.
Ms Zakharova was speaking on a chat show on Russian state TV at the weekend but her comments drew more attention after being picked up by media outlets on Thursday.
She said she had visited New York with an official Russian delegation at the time of the last UN General Assembly, in September.
""I have a lot of friends and acquaintances there, of course I was interested to find out: how are the elections going, what are the American people's expectations?"" she said.
""If you want to know what will happen in America, who do you need to talk to? You have to talk to the Jews, of course. It goes without saying.""
At this, the TV studio audience applauded loudly.
""I went here and there among them, to chat,"" she continued.
Imitating a Jewish accent, Mrs Zakharova said Jewish people had told her: ""'Marochka, understand this - we'll donate to Clinton, of course. But we'll give the Republicans twice that amount.' Enough said! That settled it for me - the picture was clear.
""If you want to know the future, don't read the mainstream newspapers - our people in Brighton [Beach] will tell you everything.""
She was referring to a district of Brooklyn with a large diaspora of Jewish emigres from the former Soviet Union.
Russian opposition activist Roman Dobrokhotov wrote on Twitter (in Russian) that the spokeswoman had ""explained Trump's victory as a Jewish conspiracy"".
Michael McFaul, the former US ambassador to Moscow, commented on Facebook, ""Wow. And this is the woman who criticizes me for not being diplomatic.""
During the election campaign, Mrs Clinton accused Mr Trump of posting a ""blatantly anti-Semitic"" tweet after he used an image resembling the Star of David and stacks of money.
Mr Trump, whose son-in-law Jared Kushner is Jewish, dismissed the accusation as ""ridiculous"".
An exit poll by US non-profit J Street suggests an overwhelming majority of US Jews voted for Hillary Clinton in the presidential election.",A spokeswoman on Russian TV has said Jewish people in New York told her they had mainly backed Trump in the US election.,A spokeswoman on Russian TV has said Jewish people in New York told her they had mainly backed Trump in the US election.,1,bart-base,xsum,1
32790804,"A report by the organisation suggests men, women and children are being abused ""to eliminate public protest"".
Many are subjected to virginity tests, rape and gang rape after arrest.
Egypt's Interior Ministry said it would not comment until it had studied the report.
The study notes a surge in sexual violence after the Egyptian military takeover in July 2013.
The perpetrators are rarely held to account and the impunity points to a ""cynical political strategy aimed at silencing all opposition"".
Police, intelligence officers and members of the military are guilty of targeting male and female detainees, according to the report.
Among the victims are student demonstrators, human rights activists, gay people and children.
Student's ordeal
I saw an officer who was grabbing a young woman by the breasts and I said to him: ""If you want to arrest her, then arrest her, but you have no right to touch her breasts.""
He grabbed me exactly as he had her, before calling two other police officers to come and hold me. They beat me, insulted me.
In the van they insulted me and beat me so much that I could no longer stand up. Two soldiers started to sexually assault me.
The officer from the start got into the van and said to me: ""Come here I'm going to show you if I'm a man."" He sexually assaulted me, the soldiers laughed, and then he raped me completely. I was paralysed, I started to vomit blood.
My life is ruined. I'm afraid of my son, my husband and even my father.
The authors said they did not have evidence that commanders were giving the orders, but the scale of the violence - and the impunity - suggested there was a political strategy.
They claim that victims who file complaints are systematically obstructed by the justice system, and face threats and reprisals by police officers and prison guards.
Sexual violence has long been a problem within the general population in Egypt, with assaults dramatically increasing in the years since Hosni Mubarak was removed from power.
Last year, President Abdul Fattah al-Sisi ordered police to launch a crackdown amid growing public anger.
He said sexual assaults, were ""an unacceptable form of conduct"" and called for citizens to ""reinstate moral values in society"".","Egyptian security forces are using sexual violence against detainees on a massive scale, it is reported.","Egyptian police are systematically abusing detainees, including women, in a campaign to end impunity, the Human Rights Watch says.",1,bart-base,xsum,0
32790804,"A report by the organisation suggests men, women and children are being abused ""to eliminate public protest"".
Many are subjected to virginity tests, rape and gang rape after arrest.
Egypt's Interior Ministry said it would not comment until it had studied the report.
The study notes a surge in sexual violence after the Egyptian military takeover in July 2013.
The perpetrators are rarely held to account and the impunity points to a ""cynical political strategy aimed at silencing all opposition"".
Police, intelligence officers and members of the military are guilty of targeting male and female detainees, according to the report.
Among the victims are student demonstrators, human rights activists, gay people and children.
Student's ordeal
I saw an officer who was grabbing a young woman by the breasts and I said to him: ""If you want to arrest her, then arrest her, but you have no right to touch her breasts.""
He grabbed me exactly as he had her, before calling two other police officers to come and hold me. They beat me, insulted me.
In the van they insulted me and beat me so much that I could no longer stand up. Two soldiers started to sexually assault me.
The officer from the start got into the van and said to me: ""Come here I'm going to show you if I'm a man."" He sexually assaulted me, the soldiers laughed, and then he raped me completely. I was paralysed, I started to vomit blood.
My life is ruined. I'm afraid of my son, my husband and even my father.
The authors said they did not have evidence that commanders were giving the orders, but the scale of the violence - and the impunity - suggested there was a political strategy.
They claim that victims who file complaints are systematically obstructed by the justice system, and face threats and reprisals by police officers and prison guards.
Sexual violence has long been a problem within the general population in Egypt, with assaults dramatically increasing in the years since Hosni Mubarak was removed from power.
Last year, President Abdul Fattah al-Sisi ordered police to launch a crackdown amid growing public anger.
He said sexual assaults, were ""an unacceptable form of conduct"" and called for citizens to ""reinstate moral values in society"".","Egyptian security forces are using sexual violence against detainees on a massive scale, it is reported.","Egyptian security forces are using sexual violence against detainees on a massive scale, it is reported.",1,bart-base,xsum,1
36437856,"Police in Australia and Europe were aware of a paedophile site called the Love Zone hidden in the so-called dark web.
It was protected by passwords, encryption and specialist software. Users were totally anonymous.
The images and videos there were particularly disturbing - showing the abuse of babies and very young children.
Members had to post increasingly graphic material to remain on the site. There were tens of thousands of accounts.
Officers with Task Force Argos in Australia knew the creator of the site used an unusual greeting - the word ""hiyas"".
After exhaustively trawling chatrooms and forums in the open internet, they found a Facebook page of a man who used the same greeting.
Although the Facebook page was fake, they identified a picture of a vehicle and that led them to a man called Shannon McCoole - a childcare worker in Adelaide.
When officers went through his door, he was actually online running the site.
They took detailed photographs of McCoole's hands. This is where the freckle comes in - one on his finger matched exactly one seen in many of the images of abuse.
In an unprecedented move, Task Force Argos assumed McCoole's identity and took over the running of the site.
Last year he was given a 35-year prison sentence.
One user who stood out was Huckle - given the number of children he had access to and his aggressive attitude.
Using data gleaned from the site and information Huckle had posted on social media and other open internet sites, they identified who he was and where he lived.
Realising he was coming back to the UK for the Christmas holidays in 2014, they tipped off Britain's National Crime Agency.
As he landed at Gatwick airport he was met by officers from the NCA's Child Exploitation and Online Protection command.
On his computer and encrypted drives they found tens of thousands of obscene images and videos.",One word and a freckle indirectly led to Huckle being tracked down.,One word and a freckle indirectly led to Huckle being tracked down.,0,bart-base,xsum,1
36437856,"Police in Australia and Europe were aware of a paedophile site called the Love Zone hidden in the so-called dark web.
It was protected by passwords, encryption and specialist software. Users were totally anonymous.
The images and videos there were particularly disturbing - showing the abuse of babies and very young children.
Members had to post increasingly graphic material to remain on the site. There were tens of thousands of accounts.
Officers with Task Force Argos in Australia knew the creator of the site used an unusual greeting - the word ""hiyas"".
After exhaustively trawling chatrooms and forums in the open internet, they found a Facebook page of a man who used the same greeting.
Although the Facebook page was fake, they identified a picture of a vehicle and that led them to a man called Shannon McCoole - a childcare worker in Adelaide.
When officers went through his door, he was actually online running the site.
They took detailed photographs of McCoole's hands. This is where the freckle comes in - one on his finger matched exactly one seen in many of the images of abuse.
In an unprecedented move, Task Force Argos assumed McCoole's identity and took over the running of the site.
Last year he was given a 35-year prison sentence.
One user who stood out was Huckle - given the number of children he had access to and his aggressive attitude.
Using data gleaned from the site and information Huckle had posted on social media and other open internet sites, they identified who he was and where he lived.
Realising he was coming back to the UK for the Christmas holidays in 2014, they tipped off Britain's National Crime Agency.
As he landed at Gatwick airport he was met by officers from the NCA's Child Exploitation and Online Protection command.
On his computer and encrypted drives they found tens of thousands of obscene images and videos.",One word and a freckle indirectly led to Huckle being tracked down.,Police in the UK have uncovered a huge online paedophile network that was operating on the internet.,0,bart-base,xsum,0
38314591,"And, on emerging relatively unscathed from the deep space experiment, what Wu Shiyun thought was that he would very much like a hot bath and some seafood.
He was one of four chosen to live inside the capsule, which was designed to mimic being on another planet.
The experiment looked at how food and air could be used and sustained under controlled conditions.
Using technology inspired by China's Shenzhou spacecraft, the three men and a woman grew 25 types of plants - including wheat and strawberries.
But it was also a chance to see how four individuals - picked from more than 2,000 candidates - could live together in a space no bigger than a netball court.
They also had to adjust to ""Mars time"", which is 39 minutes longer than an earth day.
But it transpires they found one very effective way to relax: Tai Chi.
""According to those of us inside the capsule, it did help in soothing our emotions. But further detailed statistical analysis is needed before we reach a specific conclusion,"" said Tong Feizhou, another volunteer.",Trapped in a tiny capsule with only three other people for company gives a person a lot of time.,A Chinese man has been living in a capsule for more than a year.,1,bart-base,xsum,0
38314591,"And, on emerging relatively unscathed from the deep space experiment, what Wu Shiyun thought was that he would very much like a hot bath and some seafood.
He was one of four chosen to live inside the capsule, which was designed to mimic being on another planet.
The experiment looked at how food and air could be used and sustained under controlled conditions.
Using technology inspired by China's Shenzhou spacecraft, the three men and a woman grew 25 types of plants - including wheat and strawberries.
But it was also a chance to see how four individuals - picked from more than 2,000 candidates - could live together in a space no bigger than a netball court.
They also had to adjust to ""Mars time"", which is 39 minutes longer than an earth day.
But it transpires they found one very effective way to relax: Tai Chi.
""According to those of us inside the capsule, it did help in soothing our emotions. But further detailed statistical analysis is needed before we reach a specific conclusion,"" said Tong Feizhou, another volunteer.",Trapped in a tiny capsule with only three other people for company gives a person a lot of time.,Trapped in a tiny capsule with only three other people for company gives a person a lot of time.,1,bart-base,xsum,1
33414260,"Guido Amsel, 49, targeted law firms that represented him or his ex-wife in a lengthy legal battle, police said.
One bomb exploded at an office last Friday, severely injuring a woman.
Two more explosive devices were found at law firms over the weekend in the city, but they were detonated by police, and no one was injured.
Mr Amsel has been charged with two counts of attempted murder, one count of aggravated assault and a number of offences related to possessing explosives.
Maria Mitousis, the 38-year-old injured by the first bomb, represented Mr Amsel's ex-wife during their divorce and a later case.
She is reported to be in a stable condition at a local hospital but suffered several serious injuries to her upper body.
Friends and family of the lawyer set up a fundraising page to help pay for her medical expenses and have so far raised more than $25,000 (Â£16,000).
They said Ms Mitousis faced ""a long road to recovery"".
Police said more packages may be delivered to other lawyers or justice officials linked to Mr Amsel and urged ""extreme caution"" over unusual packages.
Winnipeg city hall was evacuated on Monday after reports of a suspicious package but it was given the all clear after police investigated. There was also a similar false alarm at a Canada Post building.",Police have charged a man for sending explosive devices to several businesses and warned that more could be discovered.,Police have charged a man for sending explosive devices to several businesses and warned that more could be discovered.,0,bart-base,xsum,1
33414260,"Guido Amsel, 49, targeted law firms that represented him or his ex-wife in a lengthy legal battle, police said.
One bomb exploded at an office last Friday, severely injuring a woman.
Two more explosive devices were found at law firms over the weekend in the city, but they were detonated by police, and no one was injured.
Mr Amsel has been charged with two counts of attempted murder, one count of aggravated assault and a number of offences related to possessing explosives.
Maria Mitousis, the 38-year-old injured by the first bomb, represented Mr Amsel's ex-wife during their divorce and a later case.
She is reported to be in a stable condition at a local hospital but suffered several serious injuries to her upper body.
Friends and family of the lawyer set up a fundraising page to help pay for her medical expenses and have so far raised more than $25,000 (Â£16,000).
They said Ms Mitousis faced ""a long road to recovery"".
Police said more packages may be delivered to other lawyers or justice officials linked to Mr Amsel and urged ""extreme caution"" over unusual packages.
Winnipeg city hall was evacuated on Monday after reports of a suspicious package but it was given the all clear after police investigated. There was also a similar false alarm at a Canada Post building.",Police have charged a man for sending explosive devices to several businesses and warned that more could be discovered.,A Winnipeg lawyer has been charged with attempted murder after a bomb attack at a law firm.,0,bart-base,xsum,0
